video_id,comment_id,text,author,channel_id,likes,replies,time,timestamp,scraped_at,source,original_length,clean_text,normalized_text,processed_text,sentiment_text,text_length,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,has_exclamation,has_question,has_emoji
dc5S4IV_NeA,UgzqZsNo3Nn7nnks9_B4AaABAg,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,@guardiannews,,0,2,10 days ago,1762308593.860707,2025-11-14T21:09:53.860707,youtube,196,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ►,john lewis ad kickstarts christmas countdown to the tune of s club classic ►,john lewis ad kickstarts christmas countdown tune club classic,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ►,196,15,12.133333333333333,0.16666666666666666,0.16666666666666666,False,False,True
dc5S4IV_NeA,Ugy_km8ojKFPUdFVJ054AaABAg,So he hugged his son after years just because he was bought a record i hug my son every day.,@Gary-s9r6x,,0,0,1 hour ago,1763168993.961902,2025-11-14T21:09:53.962251,youtube,92,So he hugged his son after years just because he was bought a record i hug my son every day.,so he hugged his son after years just because he was bought a record i hug my son every day,hugged son year bought record hug son every day,So he hugged his son after years just because he was bought a record i hug my son every day.,92,20,3.65,0.0,0.0,False,False,False
dc5S4IV_NeA,UgzSuDRvWug-o-usPUN4AaABAg,Was a black singer!!!!!,@Jess-qy6pm,,0,0,3 hours ago,1763161794.062436,2025-11-14T21:09:54.062436,youtube,23,Was a black singer!!!!!,was a black singer,black singer,Was a black singer!!!!!,23,4,5.0,-0.5086263020833333,0.43333333333333335,True,False,False
dc5S4IV_NeA,Ugxk7bk4KLl6pSLrHMN4AaABAg,❤❤❤❤ Came here after watching the diabolical m&s advert,@hopeack12345,,0,0,3 hours ago,1763161794.16364,2025-11-14T21:09:54.163640,youtube,55,❤❤❤❤ Came here after watching the diabolical m&s advert,❤❤❤❤ came here after watching the diabolical ms advert,came watching diabolical m advert,❤❤❤❤ Came here after watching the diabolical m&s advert,55,9,5.222222222222222,0.0,0.0,False,False,True
dc5S4IV_NeA,UgwIm3n0hoOnDyeA3eR4AaABAg,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad  doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",@LessMarxMoreMises,,0,0,5 hours ago,1763154594.265252,2025-11-14T21:09:54.265252,youtube,282,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",worst christmas ad in history was it written by ai forced sentimentality weird parodylike cringe fest its as if they said right what sums up a british christmas a middleaged labourvoting dad doing tiktoklevel dad dancing at a rave he absolutely should not be at,worst christmas ad history written ai forced sentimentality weird parodylike cringe fest said right sum british christmas middleaged labourvoting dad tiktoklevel dad dancing rave absolutely,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",282,45,5.266666666666667,-0.23154761904761903,0.6059523809523809,True,True,False
dc5S4IV_NeA,Ugy6CsEJSGMuiKcI65d4AaABAg,Excellent advert. As usual JL blows the other retailers out of the water.,@rosson1983,,0,0,6 hours ago,1763150994.36638,2025-11-14T21:09:54.366380,youtube,73,Excellent advert. As usual JL blows the other retailers out of the water.,excellent advert as usual jl blows the other retailers out of the water,excellent advert usual jl blow retailer water,Excellent advert. As usual JL blows the other retailers out of the water.,73,13,4.6923076923076925,0.20833333333333334,0.5416666666666666,False,False,False
dc5S4IV_NeA,UgyffUQP92et6qfLnE54AaABAg,"Oh this is lovely and, yes, I’m crying 🥹",@jackieplatts4359,,0,0,8 hours ago,1763143794.467225,2025-11-14T21:09:54.467225,youtube,40,"Oh this is lovely and, yes, I’m crying 🥹",oh this is lovely and yes i’m crying 🥹,oh lovely cry,"Oh this is lovely and, yes, I’m crying 🥹",40,9,3.5555555555555554,0.15,0.675,False,False,False
dc5S4IV_NeA,UgwyF4j0DI8SM4uiTwJ4AaABAg,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",@m535i,,0,0,9 hours ago,1763140194.568461,2025-11-14T21:09:54.568461,youtube,280,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",well done to all those who put this amazing john lewis advert together absolutely nailed it cant believe the emotions tears that have come over me id do anything for one last hug with my dad but sadly hes gone lets hope this advert brings families closer together again,well done put amazing john lewis advert together absolutely nailed cant believe emotion tear come id anything one last hug dad sadly he gone let hope advert brings family closer together,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",280,50,4.62,0.07500000000000001,0.7166666666666667,False,False,False
dc5S4IV_NeA,UgwhfJqiriRRcmh5rtV4AaABAg,Another disappointing Christmas advert,@666kismett,,0,0,13 hours ago,1763125794.771286,2025-11-14T21:09:54.771286,youtube,38,Another disappointing Christmas advert,another disappointing christmas advert,another disappointing christmas advert,Another disappointing Christmas advert,38,4,8.75,-0.6,0.7,False,False,False
dc5S4IV_NeA,Ugx-hnpSg4tVX97Y1e54AaABAg,Old skoolers ❤️ ❤,@engerland3239,,0,0,15 hours ago,1763118594.871856,2025-11-14T21:09:54.871856,youtube,17,Old skoolers ❤️ ❤,old skoolers ❤️ ❤,old skoolers,Old skoolers ❤️ ❤,17,4,3.5,0.1,0.2,False,False,True
dc5S4IV_NeA,Ugzbd9MGX9lXW9v0tGd4AaABAg,Where is this advert made for? Can’t be the UK it’s brilliant ✌️,@desertofthereal4062,,0,0,18 hours ago,1763107794.973637,2025-11-14T21:09:54.973637,youtube,64,Where is this advert made for? Can’t be the UK it’s brilliant ✌️,where is this advert made for can’t be the uk it’s brilliant ✌️,advert made uk brilliant,Where is this advert made for? Can’t be the UK it’s brilliant ✌️,64,13,4.0,0.9,1.0,False,True,True
dc5S4IV_NeA,Ugxz6-tDN3FwTf-yGfN4AaABAg,And a piano house track,@nonsense168,,0,0,18 hours ago,1763107795.07464,2025-11-14T21:09:55.074640,youtube,23,And a piano house track,and a piano house track,piano house track,And a piano house track,23,5,3.8,0.0,0.0,False,False,False
dc5S4IV_NeA,Ugzd-n3f2cPczmOBKc14AaABAg,"Finally, a White British family lol",@BlazeNero,,0,0,1 day ago,1763086195.17555,2025-11-14T21:09:55.175550,youtube,35,"Finally, a White British family lol",finally a white british family lol,finally white british family,"Finally, a White British family lol",35,6,5.0,0.26666666666666666,0.2333333333333333,False,False,False
dc5S4IV_NeA,Ugztd7P19ZpeiFaxI714AaABAg,Nice to see a Christmas advert representing 82% of England and Wales for a change.,@nanookmoose,,0,0,1 day ago,1763086195.277272,2025-11-14T21:09:55.277272,youtube,82,Nice to see a Christmas advert representing 82% of England and Wales for a change.,nice to see a christmas advert representing of england and wales for a change,see christmas advert representing england wale change,Nice to see a Christmas advert representing 82% of England and Wales for a change.,82,15,4.533333333333333,0.6,1.0,False,False,False
dc5S4IV_NeA,Ugwo1TtLuaazT6IsrO94AaABAg,Great advert!,@Josephdrfsharpe,,0,0,1 day ago,1763086195.378039,2025-11-14T21:09:55.378039,youtube,13,Great advert!,great advert,great advert,Great advert!,13,2,6.0,1.0,0.75,True,False,False
dc5S4IV_NeA,UgzvqIOJ5rA-6LUbuVF4AaABAg,This is their best Christmas advert and you know they had it large on NYE,@Peter-mw3wj,,0,0,1 day ago,1763086195.479139,2025-11-14T21:09:55.479139,youtube,73,This is their best Christmas advert and you know they had it large on NYE,this is their best christmas advert and you know they had it large on nye,best christmas advert know large nye,This is their best Christmas advert and you know they had it large on NYE,73,15,3.933333333333333,0.6071428571428571,0.36428571428571427,False,False,False
dc5S4IV_NeA,Ugy4b48fVYtjvsDw9Q54AaABAg,"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas  normal message. Final feels like a Christmas ad we can all relate to.",@Danny-vx1wc,,0,0,1 day ago,1763086195.580045,2025-11-14T21:09:55.580045,youtube,160,"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas normal message. Final feels like a Christmas ad we can all relate to.",well done john lewis we all needed this normal family normal history normal christmas normal message final feels like a christmas ad we can all relate to,well done john lewis needed normal family normal history normal christmas normal message final feel christmas ad relate,"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas normal message. Final feels like a Christmas ad we can all relate to.",160,27,4.925925925925926,0.12,0.72,False,False,False
dc5S4IV_NeA,UgwGLXZCZq-1XhxJcFt4AaABAg,Brings me tears tbh I can relate to this 100%,@tylerpearce9610,,0,0,1 day ago,1763086195.681155,2025-11-14T21:09:55.681155,youtube,45,Brings me tears tbh I can relate to this 100%,brings me tears tbh i can relate to this,brings tear tbh relate,Brings me tears tbh I can relate to this 100%,45,10,3.6,0.0,0.0,False,False,False
