text,textblob_polarity,textblob_subjectivity,textblob_sentiment,transformer_sentiment,transformer_confidence,transformer_positive,transformer_negative,transformer_neutral,consensus_sentiment,sentiment_intensity
John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ►,0.16666666666666666,0.16666666666666666,positive,neutral,0.8239483833312988,0.1653365045785904,0.010715032927691936,0.8239483833312988,neutral,0.49530752499898273
So he hugged his son after years just because he was bought a record i hug my son every day.,0.0,0.0,neutral,positive,0.8021459579467773,0.8021459579467773,0.009740283712744713,0.1881137639284134,positive,0.40107297897338867
Was a black singer!!!!!,-0.5086263020833333,0.43333333333333335,negative,neutral,0.6082152128219604,0.33161646127700806,0.06016830727458,0.6082152128219604,negative,0.5584207574526469
❤❤❤❤ Came here after watching the diabolical m&s advert,0.0,0.0,neutral,positive,0.5190774202346802,0.5190774202346802,0.14294283092021942,0.3379797637462616,neutral,0.2595387101173401
"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",-0.23154761904761903,0.6059523809523809,negative,negative,0.9329957962036133,0.008277203887701035,0.9329957962036133,0.058727018535137177,negative,0.5822717076256162
"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",-0.23154761904761903,0.6059523809523809,negative,negative,0.9329957962036133,0.008277203887701035,0.9329957962036133,0.058727018535137177,negative,0.5822717076256162
Excellent advert. As usual JL blows the other retailers out of the water.,0.20833333333333334,0.5416666666666666,positive,positive,0.9606555700302124,0.9606555700302124,0.009875274263322353,0.029469184577465057,positive,0.5844944516817728
"Oh this is lovely and, yes, I’m crying 🥹",0.15,0.675,positive,positive,0.9768913388252258,0.9768913388252258,0.011171567253768444,0.01193710695952177,positive,0.5634456694126129
"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",0.07500000000000001,0.7166666666666667,neutral,positive,0.9259882569313049,0.9259882569313049,0.025498514994978905,0.04851328954100609,positive,0.5004941284656524
Another disappointing Christmas advert,-0.6,0.7,negative,negative,0.8802570104598999,0.018402811139822006,0.8802570104598999,0.10134018957614899,negative,0.74012850522995
Old skoolers ❤️ ❤,0.1,0.2,neutral,positive,0.7911359667778015,0.7911359667778015,0.005994923412799835,0.20286902785301208,neutral,0.44556798338890075
Where is this advert made for? Can’t be the UK it’s brilliant ✌️,0.9,1.0,positive,positive,0.8190497756004333,0.8190497756004333,0.05403240770101547,0.1269177943468094,positive,0.8595248878002166
And a piano house track,0.0,0.0,neutral,neutral,0.7624597549438477,0.21374642848968506,0.023793872445821762,0.7624597549438477,neutral,0.38122987747192383
"Finally, a White British family lol",0.26666666666666666,0.2333333333333333,positive,positive,0.7676494121551514,0.7676494121551514,0.012902775779366493,0.2194477915763855,positive,0.517158039410909
Nice to see a Christmas advert representing 82% of England and Wales for a change.,0.6,1.0,positive,positive,0.8944520950317383,0.8944520950317383,0.009578779339790344,0.09596916288137436,positive,0.7472260475158692
Great advert!,1.0,0.75,positive,positive,0.9722827672958374,0.9722827672958374,0.006452878005802631,0.02126435749232769,positive,0.9861413836479187
This is their best Christmas advert and you know they had it large on NYE,0.6071428571428571,0.36428571428571427,positive,positive,0.9741423726081848,0.9741423726081848,0.00720985047519207,0.018647732213139534,positive,0.790642614875521
"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas normal message. Final feels like a Christmas ad we can all relate to.",0.12,0.72,positive,positive,0.9636422395706177,0.9636422395706177,0.006594421342015266,0.02976328320801258,positive,0.5418211197853089
Brings me tears tbh I can relate to this 100%,0.0,0.0,neutral,negative,0.6799022555351257,0.11327927559614182,0.6799022555351257,0.20681849122047424,neutral,0.33995112776756287
"as I said on twitter, still balling my eyes out",0.0,0.0,neutral,neutral,0.49929556250572205,0.17905044555664062,0.32165396213531494,0.49929556250572205,neutral,0.24964778125286102
My father's idea of bonding was smashing an ashtray across my face and hoofing me down the stairs. Happy days.,0.32222222222222224,0.6444444444444445,positive,positive,0.7002236843109131,0.7002236843109131,0.06142755225300789,0.2383488416671753,positive,0.5112229532665676
Eeeee loved the music didn’t cry tho shame wanted to feel,0.7,0.8,positive,positive,0.9569271206855774,0.9569271206855774,0.010725070722401142,0.03234783560037613,positive,0.8284635603427887
"Best John Lewis Ad in years, if not ever!",1.0,0.3,positive,positive,0.9750826954841614,0.9750826954841614,0.003992680925875902,0.020924590528011322,positive,0.9875413477420807
"What a great ad - very sentimental, but positive. Just right for Christmas!",0.2648538961038961,0.7077922077922078,positive,positive,0.9852258563041687,0.9852258563041687,0.004665220156311989,0.01010891143232584,positive,0.6250398762040323
"Anyone knows name of the song ( second part of the song ,male vocal )?",0.0,0.05,neutral,neutral,0.9335772395133972,0.035391177982091904,0.031031472608447075,0.9335772395133972,neutral,0.4667886197566986
"Amazing track, never thought I would hear that on a Xmas Ad ever. Well done on an amazing advert John Lewis!",0.675,0.9,positive,positive,0.9780304431915283,0.9780304431915283,0.005391179583966732,0.016578374430537224,positive,0.8265152215957642
